,Indicator,Year,Indicator_value,Ticker
4,cashAndCashEquivalents,2016,6510000000,MSFT
5,shortTermInvestments,2016,106730000000,MSFT
6,cashAndShortTermInvestments,2016,113240000000,MSFT
7,netReceivables,2016,18277000000,MSFT
8,inventory,2016,2251000000,MSFT
9,otherCurrentAssets,2016,5892000000,MSFT
10,totalCurrentAssets,2016,139660000000,MSFT
11,propertyPlantEquipmentNet,2016,18356000000,MSFT
12,goodwill,2016,17872000000,MSFT
13,intangibleAssets,2016,3733000000,MSFT
14,goodwillAndIntangibleAssets,2016,21605000000,MSFT
15,longTermInvestments,2016,10431000000,MSFT
16,taxAssets,2016,0.0,MSFT
17,otherNonCurrentAssets,2016,3642000000,MSFT
18,totalNonCurrentAssets,2016,54034000000,MSFT
19,otherAssets,2016,0.0,MSFT
20,totalAssets,2016,193694000000,MSFT
21,accountPayables,2016,6898000000,MSFT
22,shortTermDebt,2016,12904000000,MSFT
23,taxPayables,2016,0.0,MSFT
24,deferredRevenue,2016,27468000000,MSFT
25,otherCurrentLiabilities,2016,5949000000,MSFT
26,totalCurrentLiabilities,2016,59357000000,MSFT
27,longTermDebt,2016,40783000000,MSFT
28,deferredRevenueNonCurrent,2016,6441000000,MSFT
29,deferredTaxLiabilitiesNonCurrent,2016,1476000000,MSFT
30,otherNonCurrentLiabilities,2016,13640000000,MSFT
31,totalNonCurrentLiabilities,2016,62340000000,MSFT
32,otherLiabilities,2016,0.0,MSFT
33,totalLiabilities,2016,121697000000,MSFT
34,commonStock,2016,68178000000,MSFT
35,retainedEarnings,2016,2282000000,MSFT
36,accumulatedOtherComprehensiveIncomeLoss,2016,1537000000,MSFT
37,othertotalStockholdersEquity,2016,0.0,MSFT
38,totalStockholdersEquity,2016,71997000000,MSFT
39,totalLiabilitiesAndStockholdersEquity,2016,193694000000,MSFT
40,totalInvestments,2016,117161000000,MSFT
41,totalDebt,2016,53687000000,MSFT
42,netDebt,2016,47177000000,MSFT
49,cashAndCashEquivalents,2017,7663000000,MSFT
50,shortTermInvestments,2017,125318000000,MSFT
51,cashAndShortTermInvestments,2017,132981000000,MSFT
52,netReceivables,2017,19792000000,MSFT
53,inventory,2017,2181000000,MSFT
54,otherCurrentAssets,2017,4897000000,MSFT
55,totalCurrentAssets,2017,159851000000,MSFT
56,propertyPlantEquipmentNet,2017,23734000000,MSFT
57,goodwill,2017,35122000000,MSFT
58,intangibleAssets,2017,10106000000,MSFT
59,goodwillAndIntangibleAssets,2017,45228000000,MSFT
60,longTermInvestments,2017,6023000000,MSFT
61,taxAssets,2017,0.0,MSFT
62,otherNonCurrentAssets,2017,6250000000,MSFT
63,totalNonCurrentAssets,2017,81235000000,MSFT
64,otherAssets,2017,0.0,MSFT
65,totalAssets,2017,241086000000,MSFT
66,accountPayables,2017,7390000000,MSFT
67,shortTermDebt,2017,10121000000,MSFT
68,taxPayables,2017,0.0,MSFT
69,deferredRevenue,2017,34102000000,MSFT
70,otherCurrentLiabilities,2017,6280000000,MSFT
71,totalCurrentLiabilities,2017,64527000000,MSFT
72,longTermDebt,2017,76073000000,MSFT
73,deferredRevenueNonCurrent,2017,10377000000,MSFT
74,deferredTaxLiabilitiesNonCurrent,2017,531000000,MSFT
75,otherNonCurrentLiabilities,2017,17184000000,MSFT
76,totalNonCurrentLiabilities,2017,104165000000,MSFT
77,otherLiabilities,2017,0.0,MSFT
78,totalLiabilities,2017,168692000000,MSFT
79,commonStock,2017,69315000000,MSFT
80,retainedEarnings,2017,2648000000,MSFT
81,accumulatedOtherComprehensiveIncomeLoss,2017,627000000,MSFT
82,othertotalStockholdersEquity,2017,0.0,MSFT
83,totalStockholdersEquity,2017,72394000000,MSFT
84,totalLiabilitiesAndStockholdersEquity,2017,241086000000,MSFT
85,totalInvestments,2017,131341000000,MSFT
86,totalDebt,2017,86194000000,MSFT
87,netDebt,2017,78531000000,MSFT
94,cashAndCashEquivalents,2018,11946000000,MSFT
95,shortTermInvestments,2018,121822000000,MSFT
96,cashAndShortTermInvestments,2018,133768000000,MSFT
97,netReceivables,2018,26481000000,MSFT
98,inventory,2018,2662000000,MSFT
99,otherCurrentAssets,2018,6751000000,MSFT
100,totalCurrentAssets,2018,169662000000,MSFT
101,propertyPlantEquipmentNet,2018,29460000000,MSFT
102,goodwill,2018,35683000000,MSFT
103,intangibleAssets,2018,8053000000,MSFT
104,goodwillAndIntangibleAssets,2018,43736000000,MSFT
105,longTermInvestments,2018,1862000000,MSFT
106,taxAssets,2018,0.0,MSFT
107,otherNonCurrentAssets,2018,7442000000,MSFT
108,totalNonCurrentAssets,2018,89186000000,MSFT
109,otherAssets,2018,0.0,MSFT
110,totalAssets,2018,258848000000,MSFT
111,accountPayables,2018,8617000000,MSFT
112,shortTermDebt,2018,3998000000,MSFT
113,taxPayables,2018,0.0,MSFT
114,deferredRevenue,2018,28905000000,MSFT
115,otherCurrentLiabilities,2018,8744000000,MSFT
