,Indicator,Year,Indicator_value,Ticker
4,revenue,2016,85320000000,MSFT
5,costOfRevenue,2016,32780000000,MSFT
6,grossProfit,2016,52540000000,MSFT
7,grossProfitRatio,2016,0.6157993436474449,MSFT
8,researchAndDevelopmentExpenses,2016,11988000000,MSFT
9,generalAndAdministrativeExpenses,2016,4563000000,MSFT
10,sellingAndMarketingExpenses,2016,14697000000,MSFT
11,otherExpenses,2016,-195000000,MSFT
12,operatingExpenses,2016,31248000000,MSFT
13,costAndExpenses,2016,64028000000,MSFT
14,interestExpense,2016,1243000000,MSFT
15,depreciationAndAmortization,2016,6622000000,MSFT
16,ebitda,2016,27914000000,MSFT
17,ebitdaratio,2016,0.32716830754805437,MSFT
18,operatingIncome,2016,21292000000,MSFT
19,operatingIncomeRatio,2016,0.2495546179090483,MSFT
20,totalOtherIncomeExpensesNet,2016,-298000000,MSFT
21,incomeBeforeTax,2016,19751000000,MSFT
22,incomeBeforeTaxRatio,2016,0.2314932020628223,MSFT
23,incomeTaxExpense,2016,2953000000,MSFT
24,netIncome,2016,16798000000,MSFT
25,netIncomeRatio,2016,0.19688232536333802,MSFT
26,eps,2016,2.12,MSFT
27,epsdiluted,2016,2.1,MSFT
28,weightedAverageShsOut,2016,7925000000,MSFT
29,weightedAverageShsOutDil,2016,8013000000,MSFT
33,currentRatio,2016,2.3528817157201343,MSFT
34,quickRatio,2016,2.2156948632848694,MSFT
35,cashRatio,2016,0.10967535421264551,MSFT
36,daysOfSalesOutstanding,2016,78.18922878574777,MSFT
37,daysOfInventoryOutstanding,2016,25.064521049420378,MSFT
38,operatingCycle,2016,103.25374983516815,MSFT
39,daysOfPayablesOutstanding,2016,76.80811470408786,MSFT
40,cashConversionCycle,2016,26.445635131080294,MSFT
41,grossProfitMargin,2016,0.6157993436474449,MSFT
42,operatingProfitMargin,2016,0.2495546179090483,MSFT
43,pretaxProfitMargin,2016,0.2314932020628223,MSFT
44,netProfitMargin,2016,0.19688232536333802,MSFT
45,effectiveTaxRate,2016,0.14951141714343577,MSFT
46,returnOnAssets,2016,0.0867244209939389,MSFT
47,returnOnEquity,2016,0.23331527702543162,MSFT
48,returnOnCapitalEmployed,2016,0.1584969144762798,MSFT
49,netIncomePerEBT,2016,0.8504885828565643,MSFT
50,ebtPerEbit,2016,0.9276253992109712,MSFT
